epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1168,1.04872,1.64186,1.83725,0.04045,0.97967,0.96903,0.98957,0.80652,0.74168,0.58768,1.43793,0.00545,0.000550165,0.000550165,0.000550165
2,75.5644,0.82217,0.61755,1.3292,0.00907,0.97589,0.97765,0.98324,0.84692,0.61475,0.41332,1.25405,0.00544,0.00109853,0.00109853,0.00109853
3,107.713,0.77335,0.5287,1.2809,0.00724,0.97469,0.96983,0.99172,0.83667,0.66733,0.42103,1.30857,0.00489,0.00163957,0.00163957,0.00163957
4,138.075,0.75274,0.50302,1.27082,0.00781,0.94981,0.95157,0.98518,0.84134,0.61699,0.44245,1.27355,0.00516,0.00163399,0.00163399,0.00163399
5,169.536,0.75298,0.48566,1.26769,0.00888,0.9932,0.97874,0.99239,0.85897,0.60929,0.37801,1.24947,0.00432,0.00162299,0.00162299,0.00162299
6,201.12,0.72279,0.45221,1.23949,0.00685,0.99773,0.9821,0.99432,0.86642,0.60275,0.3562,1.2447,0.00276,0.00161199,0.00161199,0.00161199
7,236.271,0.72606,0.44519,1.24311,0.00658,0.99118,0.98212,0.98476,0.86287,0.61562,0.36359,1.22891,0.00608,0.00160099,0.00160099,0.00160099
8,270.991,0.71372,0.43965,1.23785,0.00568,0.9919,0.98659,0.99465,0.87175,0.5916,0.3455,1.22534,0.00619,0.00158998,0.00158998,0.00158998
9,310.063,0.70713,0.43035,1.22547,0.00625,0.98945,0.99106,0.99429,0.87264,0.58429,0.35799,1.15636,0.0029,0.00157898,0.00157898,0.00157898
10,350.316,0.67873,0.41011,1.19677,0.00545,0.99672,0.9743,0.99169,0.86296,0.59223,0.34483,1.1654,0.00187,0.00156798,0.00156798,0.00156798
11,384.962,0.68541,0.41085,1.1993,0.00479,0.99731,0.98659,0.99483,0.88309,0.56442,0.32634,1.15191,0.00152,0.00155698,0.00155698,0.00155698
